#---- ММВБ- СПВБ: валюты (СЭЛТ) ----
Серебро ЦБ РФ,Серебро - ЦБ РФ,16/11,6.86,0.1
Платина ЦБ РФ,Платина - ЦБ РФ,16/11,741.41,-7.19
Палладий ЦБ РФ,Палладий - ЦБ РФ,16/11,185.14,-0.73
#---- Прочее ----
ОФЗ ФД инд-р,Индикатор портфеля для ОФЗ ФД,14/10,6.8428,1.4838
ОФЗ ПД инд-р,Индикатор портфеля для ОФЗ ПД,08/07,8.1067,-0.0898
Расх. бюджета,Расходы бюджета,01/01-31/10,2241.73,83.0% к плану на 2004 г.
Сальдо,Сальдо внешнеторгового оборота , , ,0
Деф-т бюджета.,Дефицит федерального бюджета , , ,0
Инв. в ОК,Инвестиции в основной капитал- млрд. руб. ,01/01-30/09,267.8,+8.4
Электротариф,Тариф на электроэнергию для пром. предприятий- МВт/ч,04/09,816,0%
Экспорт РФ,Экспорт РФ(млрд руб.),01/01-31/08,16.2,+1.7
ЗВ резервы,Золотовалютные резервы,05/11,112.8,+5.5
Ден. база,Денежная база,09/11,1490.9,+25.1
Доходы бюджета,Доходы федерального бюджета ,01/01-31/10,2746.67,100.1% к плану на 2004 г.
Импорт РФ,Импорт РФ(млрд руб.),01/01-31/08,8.1,-0.2
Инфляция,Инфляция в РФ,01/10-31/10,1.1,+0.7
ВВП РФ,ВВП РФ,01/01-30/06,7549,+7.4
Объем ПП,Объем промышленного производства,01/01-30/09,1000.2,+16.9
MOSIBAR1,Ставка по предоставленным рублевым кредитам- рассчитываемая РБК сроком на 1 день,12/11,1.17,+3.54%
Остатки на КС,Остатки на корсчетах,16/11,254.5,-47.7
Остатки на ДС,Остатки на депозитных счетах,16/11,221.3,+20.4
Ставка ЦБ,Ставка рефинансирования ЦБ РФ,16/11,13,0
MIBOR1,Ставки по рублевым МБК- рассчитываемые ИК ЦБ РФ, сроком на 1 день,16/11,1.23,-1.60%
MIACR1,Ставки по предоставленным МБК- рассчитываемые ИК ЦБ РФ, сроком на 1 день,15/11,1.07,0.00%
Индекс цен,Индекс потребительских цен,01/10-31/10,101.1,+0.7
Продукты,Индекс потребительских цен - на продовольственные товары,01/10-31/10,101.4,+1.4
Товары,Индекс потребительских цен  - на непродовольственные товары,01/10-31/10,100.7,-0.2
Услуги,Индекс потребительских цен  - на платные услуги населению,01/10-31/10,101.2,+0.6
